Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,1300468
2,नेपाली काँग्रेस,रुख,287323
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,187901
4,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,137878
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,107612
6,जनमत पार्टी,लाउड स्पिकर,50720
7,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,35642
8,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,24283
9,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,24204
10,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,23237
11,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,14374
12,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),10654
13,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,9854
14,नेपाल जनता संरक्षण पार्टी,डोको,7722
15,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,7268
16,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,3926
17,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,3302
18,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,3038
19,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,2663
20,नेपाल मजदुर किसान पार्टी,मादल,2371
21,राष्ट्रिय एकता दल,"तुलसी, मठ",2244
22,नेपाल जनता पार्टी,कमलको फूल,1823
23,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,1377
24,राष्ट्रिय जनमोर्चा,गिलास,1334
25,संयुक्त नागरिक पार्टी,गितार,1244
26,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,1089
27,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,1063
28,बहुजन शक्ति पार्टी,जग,1017
29,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,890
30,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,866
31,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,862
32,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,805
33,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,749
34,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,702
35,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,697
36,जन अधिकार पार्टी,डुङ्‌गा,660
37,नेपाली काँग्रेस (वी.पी.),करूवा,519
38,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,492
39,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),488
40,नेपाल जनमुक्ति पार्टी,घर,437
41,"नागरिक शक्ति, नेपाल",त्रिशुल,423
42,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,409
43,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,346
44,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,326
45,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,320
46,प्रजातान्त्रिक पार्टी नेपाल,रथ,313
47,नेपाली जनता दल,सिट्ठी,305
48,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,302
49,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,295
50,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,264
51,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,254
52,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,238
53,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,237
54,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,205
55,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,197
56,मितेरी पार्टी नेपाल,घोडा,142
57,त्रिमुल नेपाल,ओदान,132
