Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,48169
2,नेपाली काँग्रेस,रुख,8913
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7982
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,7658
5,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,3565
6,जनमत पार्टी,लाउड स्पिकर,1247
7,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,1027
8,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,456
9,नेपाल जनता संरक्षण पार्टी,डोको,320
10,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,191
11,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,139
12,नेपाल मजदुर किसान पार्टी,मादल,117
13,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),109
14,राष्ट्रिय एकता दल,"तुलसी, मठ",66
15,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,65
16,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,57
17,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,49
18,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,49
19,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,36
20,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,35
21,नेपाली काँग्रेस (वी.पी.),करूवा,31
22,संयुक्त नागरिक पार्टी,गितार,31
23,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,27
24,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,25
25,नेपाल जनता पार्टी,कमलको फूल,22
26,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,21
27,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,20
28,बहुजन शक्ति पार्टी,जग,20
29,"नागरिक शक्ति, नेपाल",त्रिशुल,19
30,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,18
31,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,17
32,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,16
33,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,15
34,प्रजातान्त्रिक पार्टी नेपाल,रथ,15
35,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,15
36,राष्ट्रिय जनमोर्चा,गिलास,15
37,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,14
38,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,14
39,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,13
40,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,13
41,जन अधिकार पार्टी,डुङ्‌गा,12
42,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,10
43,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,10
44,नेपाली जनता दल,सिट्ठी,9
45,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,8
46,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,8
47,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,7
48,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,7
49,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),7
50,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,6
51,नेपाल जनमुक्ति पार्टी,घर,6
52,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,5
53,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,3
54,त्रिमुल नेपाल,ओदान,3
55,मितेरी पार्टी नेपाल,घोडा,2
56,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,1
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,1
