Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,50421
2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8984
3,नेपाली काँग्रेस,रुख,5018
4,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,4047
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1948
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1785
7,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,924
8,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,923
9,राष्ट्रिय एकता दल,"तुलसी, मठ",627
10,जनमत पार्टी,लाउड स्पिकर,534
11,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,451
12,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,449
13,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,156
14,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),143
15,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,115
16,नेपाल जनता संरक्षण पार्टी,डोको,79
17,नेपाल जनता पार्टी,कमलको फूल,68
18,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,56
19,राष्ट्रिय जनमोर्चा,गिलास,55
20,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,45
21,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,36
22,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,29
23,संयुक्त नागरिक पार्टी,गितार,26
24,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,21
25,नेपाल मजदुर किसान पार्टी,मादल,20
26,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,17
27,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,16
28,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,15
29,नेपाली काँग्रेस (वी.पी.),करूवा,13
30,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,13
31,प्रजातान्त्रिक पार्टी नेपाल,रथ,12
32,बहुजन शक्ति पार्टी,जग,10
33,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,9
34,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,8
35,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,8
36,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),7
37,"नागरिक शक्ति, नेपाल",त्रिशुल,7
38,नेपाली जनता दल,सिट्ठी,6
39,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,5
40,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,5
41,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,5
42,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,5
43,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,5
44,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,4
45,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,4
46,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,4
47,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,3
48,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,2
49,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,2
50,जन अधिकार पार्टी,डुङ्‌गा,2
51,मितेरी पार्टी नेपाल,घोडा,1
52,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,1
53,त्रिमुल नेपाल,ओदान,1
54,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,1
55,नेपाल जनमुक्ति पार्टी,घर,0
56,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,0
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,0
