Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,40845
2,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,6116
3,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,5141
4,नेपाली काँग्रेस,रुख,4577
5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,1767
6,जनमत पार्टी,लाउड स्पिकर,843
7,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,810
8,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,427
9,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,421
10,नेपाल जनता संरक्षण पार्टी,डोको,388
11,राष्ट्रिय जनमोर्चा,गिलास,271
12,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,138
13,नेपाल जनमुक्ति पार्टी,घर,98
14,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,98
15,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,96
16,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,74
17,राष्ट्रिय एकता दल,"तुलसी, मठ",72
18,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,67
19,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,62
20,नेपाल जनता पार्टी,कमलको फूल,58
21,नेपाल मजदुर किसान पार्टी,मादल,57
22,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,50
23,संयुक्त नागरिक पार्टी,गितार,45
24,जन अधिकार पार्टी,डुङ्‌गा,45
25,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,38
26,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),38
27,बहुजन शक्ति पार्टी,जग,36
28,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,35
29,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,35
30,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,33
31,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),33
32,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,28
33,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,28
34,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,28
35,"नागरिक शक्ति, नेपाल",त्रिशुल,23
36,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,23
37,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,23
38,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,22
39,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,21
40,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,20
41,नेपाली जनता दल,सिट्ठी,19
42,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,19
43,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,18
44,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,18
45,नेपाली काँग्रेस (वी.पी.),करूवा,17
46,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,17
47,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,17
48,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,14
49,प्रजातान्त्रिक पार्टी नेपाल,रथ,13
50,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,12
51,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,12
52,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,11
53,मितेरी पार्टी नेपाल,घोडा,8
54,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,7
55,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,7
56,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,5
57,त्रिमुल नेपाल,ओदान,2
