Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,40602
2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6897
3,नेपाली काँग्रेस,रुख,6722
4,जनमत पार्टी,लाउड स्पिकर,4944
5,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,4683
6,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,3096
7,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1556
8,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1361
9,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,1125
10,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),337
11,नेपाल जनता संरक्षण पार्टी,डोको,284
12,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,253
13,नेपाल मजदुर किसान पार्टी,मादल,95
14,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),92
15,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,88
16,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,81
17,नेपाल जनता पार्टी,कमलको फूल,80
18,संयुक्त नागरिक पार्टी,गितार,75
19,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,69
20,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,68
21,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,65
22,राष्ट्रिय जनमोर्चा,गिलास,63
23,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,60
24,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,59
25,बहुजन शक्ति पार्टी,जग,53
26,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,50
27,राष्ट्रिय एकता दल,"तुलसी, मठ",48
28,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,39
29,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,38
30,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,36
31,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,33
32,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,33
33,नेपाली काँग्रेस (वी.पी.),करूवा,33
34,त्रिमुल नेपाल,ओदान,32
35,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,32
36,नेपाली जनता दल,सिट्ठी,32
37,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,31
38,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,29
39,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,28
40,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,26
41,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,26
42,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,25
43,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,24
44,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,21
45,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,21
46,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,21
47,"नागरिक शक्ति, नेपाल",त्रिशुल,20
48,मितेरी पार्टी नेपाल,घोडा,18
49,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,14
50,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,12
51,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,11
52,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,10
53,जन अधिकार पार्टी,डुङ्‌गा,7
54,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,7
55,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,7
56,नेपाल जनमुक्ति पार्टी,घर,7
57,प्रजातान्त्रिक पार्टी नेपाल,रथ,6
