Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,48765
2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,7955
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,5288
4,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,5231
5,नेपाली काँग्रेस,रुख,5148
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1340
7,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,1283
8,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,1010
9,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,871
10,जनमत पार्टी,लाउड स्पिकर,331
11,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,311
12,नेपाल जनता संरक्षण पार्टी,डोको,236
13,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,189
14,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),99
15,नेपाल मजदुर किसान पार्टी,मादल,81
16,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,76
17,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,67
18,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,64
19,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,62
20,राष्ट्रिय एकता दल,"तुलसी, मठ",56
21,संयुक्त नागरिक पार्टी,गितार,46
22,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,39
23,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,34
24,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,33
25,राष्ट्रिय जनमोर्चा,गिलास,31
26,नेपाल जनता पार्टी,कमलको फूल,30
27,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,28
28,बहुजन शक्ति पार्टी,जग,26
29,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,26
30,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,25
31,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,23
32,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,23
33,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,23
34,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,22
35,नेपाल जनमुक्ति पार्टी,घर,18
36,नेपाली काँग्रेस (वी.पी.),करूवा,15
37,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,15
38,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,15
39,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,14
40,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,13
41,प्रजातान्त्रिक पार्टी नेपाल,रथ,13
42,"नागरिक शक्ति, नेपाल",त्रिशुल,13
43,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),12
44,नेपाली जनता दल,सिट्ठी,11
45,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,9
46,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,9
47,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,9
48,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,9
49,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,8
50,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,8
51,जन अधिकार पार्टी,डुङ्‌गा,6
52,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,6
53,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,5
54,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,5
55,मितेरी पार्टी नेपाल,घोडा,4
56,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,3
57,त्रिमुल नेपाल,ओदान,1
