Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,41536
2,नेपाली काँग्रेस,रुख,8901
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7149
4,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,3031
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2574
6,जनमत पार्टी,लाउड स्पिकर,1622
7,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,1315
8,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,758
9,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,298
10,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,255
11,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,242
12,नेपाल जनता संरक्षण पार्टी,डोको,237
13,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),184
14,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,123
15,नेपाल मजदुर किसान पार्टी,मादल,95
16,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,80
17,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,71
18,राष्ट्रिय एकता दल,"तुलसी, मठ",63
19,नेपाली काँग्रेस (वी.पी.),करूवा,40
20,संयुक्त नागरिक पार्टी,गितार,34
21,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,33
22,बहुजन शक्ति पार्टी,जग,28
23,राष्ट्रिय जनमोर्चा,गिलास,28
24,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,25
25,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,22
26,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,22
27,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,22
28,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,19
29,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,17
30,नेपाल जनता पार्टी,कमलको फूल,17
31,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,14
32,प्रजातान्त्रिक पार्टी नेपाल,रथ,14
33,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,13
34,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,13
35,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,13
36,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,12
37,जन अधिकार पार्टी,डुङ्‌गा,12
38,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,11
39,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,11
40,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,9
41,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),9
42,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,9
43,नेपाली जनता दल,सिट्ठी,8
44,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,8
45,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,8
46,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,7
47,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,6
48,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,5
49,"नागरिक शक्ति, नेपाल",त्रिशुल,5
50,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,4
51,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,4
52,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,3
53,मितेरी पार्टी नेपाल,घोडा,3
54,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,3
55,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
56,नेपाल जनमुक्ति पार्टी,घर,2
57,त्रिमुल नेपाल,ओदान,1
