Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,933352
2,नेपाली काँग्रेस,रुख,328719
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,296542
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,155242
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,80048
6,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,25489
7,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,23503
8,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),20086
9,जनमत पार्टी,लाउड स्पिकर,17111
10,राष्ट्रिय जनमोर्चा,गिलास,16056
11,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,7672
12,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,5958
13,नेपाल जनता संरक्षण पार्टी,डोको,4027
14,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,3612
15,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,3233
16,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,2642
17,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,2619
18,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,2596
19,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,2583
20,नेपाल जनता पार्टी,कमलको फूल,2233
21,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,2178
22,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,2051
23,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,1996
24,संयुक्त नागरिक पार्टी,गितार,1803
25,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,1577
26,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,1291
27,नेपाल मजदुर किसान पार्टी,मादल,1235
28,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,1108
29,राष्ट्रिय एकता दल,"तुलसी, मठ",1105
30,बहुजन शक्ति पार्टी,जग,699
31,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,618
32,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,550
33,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,494
34,नेपाल जनमुक्ति पार्टी,घर,441
35,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,427
36,प्रजातान्त्रिक पार्टी नेपाल,रथ,404
37,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,385
38,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,385
39,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,360
40,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,324
41,नेपाली काँग्रेस (वी.पी.),करूवा,319
42,"नागरिक शक्ति, नेपाल",त्रिशुल,299
43,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),289
44,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,267
45,नेपाली जनता दल,सिट्ठी,266
46,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,235
47,जन अधिकार पार्टी,डुङ्‌गा,207
48,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,205
49,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,172
50,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,170
51,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,159
52,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,152
53,मितेरी पार्टी नेपाल,घोडा,150
54,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,136
55,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,117
56,त्रिमुल नेपाल,ओदान,104
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,103
