Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,43252
2,नेपाली काँग्रेस,रुख,13187
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7621
4,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,5842
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4005
6,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,2923
7,जनमत पार्टी,लाउड स्पिकर,2585
8,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,2467
9,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,1395
10,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),914
11,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,886
12,राष्ट्रिय जनमोर्चा,गिलास,309
13,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,293
14,नेपाल जनता पार्टी,कमलको फूल,228
15,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,171
16,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,166
17,नेपाल जनता संरक्षण पार्टी,डोको,156
18,राष्ट्रिय एकता दल,"तुलसी, मठ",68
19,बहुजन शक्ति पार्टी,जग,64
20,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,62
21,नेपाल जनमुक्ति पार्टी,घर,62
22,नेपाल मजदुर किसान पार्टी,मादल,57
23,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,49
24,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,45
25,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,45
26,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,39
27,प्रजातान्त्रिक पार्टी नेपाल,रथ,38
28,संयुक्त नागरिक पार्टी,गितार,34
29,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,34
30,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,32
31,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),32
32,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,30
33,"नागरिक शक्ति, नेपाल",त्रिशुल,25
34,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,23
35,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,21
36,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,19
37,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,17
38,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,17
39,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,15
40,जन अधिकार पार्टी,डुङ्‌गा,15
41,नेपाली काँग्रेस (वी.पी.),करूवा,15
42,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,14
43,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,13
44,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,13
45,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,12
46,नेपाली जनता दल,सिट्ठी,11
47,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,10
48,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,10
49,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,9
50,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,8
51,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,7
52,मितेरी पार्टी नेपाल,घोडा,6
53,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,6
54,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,5
55,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,5
56,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,5
57,त्रिमुल नेपाल,ओदान,2
