Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,44499
2,नेपाली काँग्रेस,रुख,15724
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,12445
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,8256
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2228
6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,477
7,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,397
8,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,195
9,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,189
10,राष्ट्रिय जनमोर्चा,गिलास,178
11,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),129
12,नेपाल जनता संरक्षण पार्टी,डोको,117
13,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,97
14,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,79
15,नेपाल जनता पार्टी,कमलको फूल,78
16,जनमत पार्टी,लाउड स्पिकर,77
17,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,72
18,संयुक्त नागरिक पार्टी,गितार,48
19,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,46
20,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,43
21,राष्ट्रिय एकता दल,"तुलसी, मठ",36
22,नेपाल मजदुर किसान पार्टी,मादल,35
23,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,21
24,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,20
25,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,19
26,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,16
27,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,15
28,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,12
29,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,12
30,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,10
31,बहुजन शक्ति पार्टी,जग,9
32,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,9
33,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,9
34,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,9
35,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,8
36,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,8
37,"नागरिक शक्ति, नेपाल",त्रिशुल,8
38,नेपाली काँग्रेस (वी.पी.),करूवा,7
39,मितेरी पार्टी नेपाल,घोडा,7
40,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),7
41,प्रजातान्त्रिक पार्टी नेपाल,रथ,6
42,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,5
43,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,5
44,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,5
45,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,5
46,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,5
47,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,4
48,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,4
49,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,4
50,नेपाल जनमुक्ति पार्टी,घर,4
51,जन अधिकार पार्टी,डुङ्‌गा,3
52,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,3
53,नेपाली जनता दल,सिट्ठी,3
54,त्रिमुल नेपाल,ओदान,3
55,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,2
56,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,1
57,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,0
