Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,47407
2,नेपाली काँग्रेस,रुख,8945
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6468
4,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,6416
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,3103
6,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1240
7,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),1018
8,जनमत पार्टी,लाउड स्पिकर,951
9,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,895
10,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,577
11,नेपाल जनता पार्टी,कमलको फूल,287
12,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,239
13,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,217
14,नेपाल जनता संरक्षण पार्टी,डोको,189
15,संयुक्त नागरिक पार्टी,गितार,125
16,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,102
17,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,85
18,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,63
19,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,62
20,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,58
21,नेपाल मजदुर किसान पार्टी,मादल,55
22,राष्ट्रिय एकता दल,"तुलसी, मठ",54
23,राष्ट्रिय जनमोर्चा,गिलास,54
24,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,51
25,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,51
26,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,48
27,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,42
28,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,38
29,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,36
30,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,21
31,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,21
32,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,20
33,नेपाल जनमुक्ति पार्टी,घर,19
34,बहुजन शक्ति पार्टी,जग,18
35,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,17
36,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,17
37,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,17
38,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,16
39,नेपाली काँग्रेस (वी.पी.),करूवा,13
40,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,12
41,प्रजातान्त्रिक पार्टी नेपाल,रथ,11
42,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),11
43,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,11
44,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,11
45,"नागरिक शक्ति, नेपाल",त्रिशुल,11
46,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,9
47,जन अधिकार पार्टी,डुङ्‌गा,8
48,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,8
49,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,7
50,नेपाली जनता दल,सिट्ठी,7
51,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,6
52,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,6
53,त्रिमुल नेपाल,ओदान,6
54,मितेरी पार्टी नेपाल,घोडा,5
55,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,5
56,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,4
57,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,2
