Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,30714
2,नेपाली काँग्रेस,रुख,10835
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9801
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4232
5,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1763
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,912
7,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,511
8,राष्ट्रिय जनमोर्चा,गिलास,368
9,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,105
10,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,96
11,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,76
12,नेपाल जनता संरक्षण पार्टी,डोको,48
13,संयुक्त नागरिक पार्टी,गितार,47
14,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,43
15,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),40
16,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,37
17,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,36
18,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,32
19,जनमत पार्टी,लाउड स्पिकर,28
20,नेपाल मजदुर किसान पार्टी,मादल,23
21,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,22
22,नेपाल जनमुक्ति पार्टी,घर,22
23,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,21
24,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,21
25,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,14
26,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,12
27,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,11
28,राष्ट्रिय एकता दल,"तुलसी, मठ",10
29,नेपाल जनता पार्टी,कमलको फूल,10
30,प्रजातान्त्रिक पार्टी नेपाल,रथ,8
31,जन अधिकार पार्टी,डुङ्‌गा,7
32,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,6
33,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,6
34,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,6
35,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,5
36,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,5
37,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,5
38,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,5
39,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,4
40,नेपाली काँग्रेस (वी.पी.),करूवा,4
41,बहुजन शक्ति पार्टी,जग,4
42,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,4
43,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),3
44,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,3
45,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,3
46,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,3
47,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,3
48,नेपाली जनता दल,सिट्ठी,3
49,मितेरी पार्टी नेपाल,घोडा,3
50,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,2
51,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,2
52,"नागरिक शक्ति, नेपाल",त्रिशुल,2
53,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,2
54,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,2
55,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,1
56,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,1
57,त्रिमुल नेपाल,ओदान,0
