Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,317836
2,नेपाली काँग्रेस,रुख,182842
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,147909
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,97885
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,36263
6,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),23992
7,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,5305
8,नेपाल जनता संरक्षण पार्टी,डोको,3575
9,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,2961
10,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,2426
11,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,2313
12,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,2202
13,जनमत पार्टी,लाउड स्पिकर,1551
14,राष्ट्रिय जनमोर्चा,गिलास,1538
15,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,1260
16,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,1112
17,नेपाल मजदुर किसान पार्टी,मादल,1097
18,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,729
19,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,719
20,राष्ट्रिय एकता दल,"तुलसी, मठ",698
21,नेपाल जनता पार्टी,कमलको फूल,639
22,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,622
23,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,606
24,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,597
25,संयुक्त नागरिक पार्टी,गितार,424
26,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,392
27,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,338
28,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,307
29,प्रजातान्त्रिक पार्टी नेपाल,रथ,283
30,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,266
31,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,238
32,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,229
33,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,223
34,नेपाली काँग्रेस (वी.पी.),करूवा,217
35,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,213
36,बहुजन शक्ति पार्टी,जग,209
37,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,209
38,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,196
39,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),178
40,नेपाली जनता दल,सिट्ठी,152
41,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,139
42,"नागरिक शक्ति, नेपाल",त्रिशुल,132
43,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,130
44,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,123
45,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,120
46,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,120
47,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,120
48,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,113
49,जन अधिकार पार्टी,डुङ्‌गा,108
50,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,107
51,त्रिमुल नेपाल,ओदान,104
52,मितेरी पार्टी नेपाल,घोडा,99
53,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,89
54,नेपाल जनमुक्ति पार्टी,घर,88
55,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,83
56,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,74
57,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,53
