Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,28648
2,नेपाली काँग्रेस,रुख,8676
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6546
4,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,5901
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3420
6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,288
7,नेपाल जनता संरक्षण पार्टी,डोको,212
8,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,134
9,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),134
10,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,110
11,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,80
12,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,78
13,जनमत पार्टी,लाउड स्पिकर,74
14,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,74
15,नेपाल मजदुर किसान पार्टी,मादल,65
16,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,64
17,राष्ट्रिय जनमोर्चा,गिलास,63
18,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,49
19,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,48
20,नेपाल जनता पार्टी,कमलको फूल,45
21,राष्ट्रिय एकता दल,"तुलसी, मठ",42
22,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,37
23,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,30
24,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,29
25,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,24
26,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,18
27,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,16
28,संयुक्त नागरिक पार्टी,गितार,16
29,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,15
30,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,15
31,नेपाली काँग्रेस (वी.पी.),करूवा,13
32,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),13
33,प्रजातान्त्रिक पार्टी नेपाल,रथ,13
34,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,12
35,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,12
36,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,9
37,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,9
38,बहुजन शक्ति पार्टी,जग,9
39,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,9
40,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,9
41,जन अधिकार पार्टी,डुङ्‌गा,9
42,"नागरिक शक्ति, नेपाल",त्रिशुल,8
43,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,7
44,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,7
45,नेपाली जनता दल,सिट्ठी,7
46,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,6
47,नेपाल जनमुक्ति पार्टी,घर,6
48,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,5
49,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,5
50,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,5
51,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,4
52,मितेरी पार्टी नेपाल,घोडा,3
53,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,3
54,त्रिमुल नेपाल,ओदान,3
55,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,3
56,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,2
57,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,2
