Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16954
2,नेपाली काँग्रेस,रुख,15187
3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,12713
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,8814
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,462
6,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,444
7,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,288
8,नेपाल जनता संरक्षण पार्टी,डोको,228
9,जनमत पार्टी,लाउड स्पिकर,124
10,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,100
11,नेपाल जनता पार्टी,कमलको फूल,77
12,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,65
13,नेपाल मजदुर किसान पार्टी,मादल,56
14,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,53
15,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,53
16,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,49
17,राष्ट्रिय एकता दल,"तुलसी, मठ",48
18,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,47
19,राष्ट्रिय जनमोर्चा,गिलास,45
20,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,36
21,प्रजातान्त्रिक पार्टी नेपाल,रथ,32
22,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,29
23,नेपाली काँग्रेस (वी.पी.),करूवा,26
24,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,24
25,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,23
26,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,22
27,बहुजन शक्ति पार्टी,जग,21
28,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,20
29,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,20
30,मितेरी पार्टी नेपाल,घोडा,19
31,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,18
32,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,17
33,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,15
34,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,15
35,नेपाली जनता दल,सिट्ठी,15
36,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),14
37,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,13
38,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,13
39,संयुक्त नागरिक पार्टी,गितार,13
40,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),13
41,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,11
42,"नागरिक शक्ति, नेपाल",त्रिशुल,11
43,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,10
44,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,10
45,त्रिमुल नेपाल,ओदान,9
46,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,8
47,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,8
48,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,7
49,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,7
50,जन अधिकार पार्टी,डुङ्‌गा,7
51,नेपाल जनमुक्ति पार्टी,घर,7
52,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,4
53,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,3
54,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,3
55,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,2
56,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,2
57,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,0
