Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली काँग्रेस,रुख,16746
2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15897
3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,6820
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3358
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,470
6,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,215
7,नेपाल जनता संरक्षण पार्टी,डोको,136
8,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,131
9,जनमत पार्टी,लाउड स्पिकर,87
10,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,71
11,नेपाल जनता पार्टी,कमलको फूल,46
12,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,45
13,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,42
14,राष्ट्रिय एकता दल,"तुलसी, मठ",30
15,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,28
16,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,25
17,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,21
18,नेपाल मजदुर किसान पार्टी,मादल,21
19,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,19
20,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,14
21,नेपाली काँग्रेस (वी.पी.),करूवा,14
22,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,13
23,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,13
24,प्रजातान्त्रिक पार्टी नेपाल,रथ,12
25,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,12
26,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,12
27,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,12
28,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,11
29,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,11
30,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,10
31,मितेरी पार्टी नेपाल,घोडा,9
32,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,8
33,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,7
34,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,7
35,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,7
36,नेपाली जनता दल,सिट्ठी,7
37,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),6
38,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,6
39,नेपाल जनमुक्ति पार्टी,घर,6
40,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),5
41,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,5
42,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,5
43,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,5
44,त्रिमुल नेपाल,ओदान,5
45,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,5
46,"नागरिक शक्ति, नेपाल",त्रिशुल,4
47,राष्ट्रिय जनमोर्चा,गिलास,4
48,जन अधिकार पार्टी,डुङ्‌गा,4
49,संयुक्त नागरिक पार्टी,गितार,4
50,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,3
51,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,3
52,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,3
53,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,2
54,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,2
55,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,2
56,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
57,बहुजन शक्ति पार्टी,जग,1
